id,url,title,author
0,'https://www.gutenberg.org/files/1661/1661-0.txt',The Adventures of Sherlock Holmes,Arthur Conan Doyle
1,https://www.gutenberg.org/cache/epub/108/pg108.txt,The Return of Sherlock Holmes,Arthur Conan Doyle
2,https://www.gutenberg.org/cache/epub/139/pg139.txt,The Lost World,Arthur Conan Doyle

